listing,price,serial,condition,weight,stock
Harmony Juno Brown,"$1,095.00",Serial #0202046,USED,Weight: 6lbs 8oz,In Stock!
Epiphone Lucille Cherry 2021,$950.00,Serial #21091537430,USED,Weight: 9lbs,In Stock!
Epiphone Les Paul Standard Black 2009,$395.00,Serial #09121508475,USED,Weight: 8lbs 11oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Cherry Tea Burst VOS w/59 Carmelita Neck","$6,650.00",Serial #95256,DEMO,Weight: 8lbs 7oz,In Stock!
Castedosa Marianna Custom Rosewood Top Aged Natural w/TS Humbuckers & Tortoise Covers,"$9,190.00",Serial #383,NEW,Weight: 8lbs 1oz,In Stock!
Novo Voltur B6 Baritone Nicotine Blonde Light Distress,"$4,499.00",Serial #251112,NEW,Weight: 7lbs 11oz,In Stock!
Suhr Custom Classic T Tangerine Freeze w/Roasted Maple Neck,"$4,375.00",Serial #80772,NEW,Weight: 8lbs 1oz,In Stock!
Heritage Standard Eagle Classic Hollow Body Antique Natural,"$5,299.00",Serial #AP21101,NEW,Weight: 7lbs 13oz,In Stock!
Epiphone Tony Iommi Signature G-400 Ebony 2015 LEFTY,"$1,050.00",Serial #1512201001,USED,Weight: 7lbs 1oz,In Stock!
Rickenbacker 620 Fireglo 2023,"$1,795.00",Serial #38715,USED,Weight: 7lbs 11oz,In Stock!
Fender American Special Stratocaster Surf Green 2015,$995.00,Serial #US15010991,USED,Weight: 8lbs 3oz,In Stock!
Fender Standard Stratocaster Sunburst 2017,$550.00,Serial #MX17957609,USED,Weight: 8lbs,In Stock!
Fender Player Telecaster Sunburst 2022,$595.00,Serial #MX22183564,USED,Weight: 7lbs 9oz,In Stock!
Rickenbacker 330 Jetglo 2008,"$1,595.00",Serial #04535,USED,Weight: 7lbs 13oz,In Stock!
Suhr Classic S HSS Firemist Gold,"$2,495.00",Serial #82249,USED,Weight: 7lbs 12oz,In Stock!
Suhr Classic JM Pro Gold 2023,"$2,695.00",Serial #72211,USED,Weight: 8lbs 2oz,In Stock!
Fender American Standard Stratocaster Black 2000,"$1,095.00",Serial #Z0041063,USED,Weight: 8lbs 1oz,In Stock!
PRS SE Custom Semi-Hollow Sunburst,$495.00,Serial #J10676,USED,Weight: 6lbs 10oz,In Stock!
Fender American Standard Stratocaster Chrome Red 2002,"$1,195.00",Serial #Z2046623,USED,Weight: 8lbs 2oz,In Stock!
LTD Eclipse '87 NT Turquoise 2021,$595.00,Serial #IW21100490,USED,Weight: 8lbs 7oz,In Stock!
LTD EC-1000T Evertune Black 2024,"$1,095.00",Serial #W24012998,USED,Weight: 8lbs 11oz,In Stock!
PRS SE Singlecut Scarlet Red 2006,$550.00,Serial #G15864,USED,Weight: 7lbs 4oz,In Stock!
Rickenbacker 330 Jetglo 1985,"$2,495.00",Serial #YA0034,USED,Weight: 8lbs 1oz,In Stock!
Fender Eric Clapton Stratocaster Olympic White 2015,"$1,295.00",Serial #US15039443,USED,Weight: 7lbs 13oz,In Stock!
Fender Artist Johnny Marr Jaguar Metallic KO 2019,"$1,695.00",Serial #V1964234,USED,Weight: 8lbs 8oz,In Stock!
Heritage Eagle Classic Sunburst 2015,"$3,995.00",Serial #AF23402,USED,Weight: 7lbs 10oz,In Stock!
Fender Eric Clapton Artist Series Stratocaster Torino Red 1988,"$1,995.00",Serial #SE803511,USED,Weight: 7lbs 13oz,In Stock!
Ibanez S570AH Black 2023,$450.00,Serial #230113450,USED,Weight: 8lbs 3oz,In Stock!
Gibson Custom Shop 1956 Les Paul Goldtop Reissue Double Gold Ultralight Back Murphy Lab Heavy Aged,"$8,699.00",Serial #65062,NEW,Weight: 8lbs 2oz,In Stock!
Epiphone Inspired by Gibson Custom Jeff Beck 1954 Les Paul Oxblood,"$1,299.00",,NEW,,In Stock!
Fender Limited Edition American Vintage II '57 Stratocaster White Blonde,"$2,939.99",,NEW,,Pre-Order
PRS Santana Retro Purple Mist 2023,"$3,595.00",Serial #0365837,USED,Weight: 8lbs 2oz,In Stock!
Fender American Vintage II '57 Stratocaster Sea Foam Green 2024,"$1,595.00",Serial #V2444428,USED,Weight: 7lbs 14oz,In Stock!
"Fender Custom Shop '60 Stratocaster ""Chicago Special"" Closet Classic Tahitian Coral Burst","$3,395.00",Serial #R139245,USED,Weight: 7lbs 15oz,In Stock!
Dunable USA Cyclops Sunburst 2020,"$2,495.00",Serial #2339,USED,Weight: 7lbs 2oz,In Stock!
Warrior Isabella Natural,"$1,895.00",Serial #ISA910,USED,Weight: 7lbs 10oz,In Stock!
Gretsch G2622T Streamliner Center Block Wine Red 2018,$450.00,Serial #IS180800130,USED,Weight: 6lbs 14oz,In Stock!
Gibson Les Paul Custom Ebony 1976,"$5,495.00",Serial #00114058,VINTAGE,Weight: 10lbs 13oz,In Stock!
Gibson ES-135 P-100 Vintage Sunburst 1995,"$1,995.00",Serial #93355821,USED,Weight: 8lbs 5oz,In Stock!
Gibson Custom 60th Anniversary 1960 Les Paul Standard Reissue Cherry Sunburst 2020,"$4,695.00",Serial #00029,USED,Weight: 9lbs 1oz,In Stock!
PRS Silver Sky Polar Blue 2022,"$1,795.00",Serial #0338314,USED,Weight: 7lbs 3oz,In Stock!
Sterling by Music Man Fluff Artist Series StingRay Guitar Rula Thumb Red,$879.99,,NEW,,In Stock!
Sterling by Music Man Fluff Artist Series StingRay Guitar Amana Boat Blue,$879.99,,NEW,,Pre-Order
Gretsch Streamliner G2622 Center Block Double-Cut Copper Metallic w/V-Stoptail,$529.99,,NEW,,Pre-Order
Gretsch Streamliner G2622 Center Block Double-Cut Midnight Sapphire w/V-Stoptail,$529.99,,NEW,,Pre-Order
Reverend Roundhouse Jr Oxblood,$999.00,,NEW,,In Stock!
Reverend Jetstream 390 LH Midnight Black,"$1,149.00",,NEW,,In Stock!
Reverend Greg Koch Gristle ST Transparent White,"$1,799.00",,NEW,,In Stock!
Reverend Greg Koch Gristlemaster Transparent White,"$1,699.00",,NEW,,In Stock!
Fender Custom Shop 52 Telecaster NOS Nocaster Blonde 2014,"$2,995.00",Serial #R13905,USED,Weight: 6lbs 15oz,In Stock!
Gibson Custom Murphy Lab '59 Les Paul Standard Reissue Ultra Light Aged Sunburst 2021,"$5,395.00",Serial #912651,USED,Weight: 8lbs 9oz,In Stock!
Gibson Les Paul Custom Black 1981 LEFTY,"$4,495.00",Serial #60701011,USED,Weight: 9lbs 15oz,In Stock!
Epiphone JA-Riviera Jorma Kaukonen Signature Riviera Deluxe Cherry,$895.00,Serial #ROOB 1477,USED,Weight: 8lbs 10oz,In Stock!
Gibson '61 SG Standard Reissue Green 2024,"$1,595.00",Serial #204640143,USED,Weight: 6lbs 4oz,In Stock!
Gibson SG Standard Ocean Turquoise 1964,"$10,995.00",Serial #232174,VINTAGE,Weight: 6lbs 10oz,In Stock!
Suhr Custom Modern T Aged Cherry Burst w/CME-Selected Spalt Maple Top,"$4,899.00",Serial #83412,NEW,Weight: 8lbs 8oz,In Stock!
