listing,Brand,price,serial,condition,,weight,stock,,,,,Brand
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Green Lemon VOS w/59 Carmelita Neck",Gibson,"$6,999.00 ",#951341,NEW,,Weight: 8lbs 9oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Slow Iced Tea Fade VOS w/Lightweight Back",Gibson,"$7,999.00 ",#95358,NEW,,Weight: 6lbs 13oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Cherry Tea Burst VOS w/60 V2 Neck",Gibson,"$6,999.00 ",#951337,NEW,,Weight: 9lbs,In Stock!,,,,,Gibson
Gibson Custom Shop 1958 Les Paul Standard Beauty of the Burst 153 Murphy Lab Heavy Aged w/Double Black Custombuckers,Gibson,"$8,499.00 ",#85587,NEW,,Weight: 8lbs 8oz,In Stock!,,,,,Gibson
Gibson Custom Shop 1960 Les Paul Standard Beauty of the Burst 151 Murphy Lab Light Aged w/Double Classic White Custombuckers,Gibson,"$8,799.00 ",#05276,NEW,,Weight: 8lbs 12oz,In Stock!,,,,,Gibson
Gibson Custom Shop 1959 ES-355 Diamond Antique Pelham Blue VOS w/Diamond F-Holes,Gibson,"$8,699.00 ",#A950114,NEW,,Weight: 8lbs 9oz,In Stock!,,,,,Gibson
Fender American Professional II Stratocaster Olympic White 2023 LEFTY,Fender,"$1,195.00 ",#US22174095,USED,,Weight: 7lbs 15oz,In Stock!,,,,,Fender
Powers Electric A-Type Select Quilt Twilight Blue Hardtail w/FF42 Pickups,Other,"$4,499.00 ",#A887,NEW,,Weight: 5lbs 12oz,In Stock!,,,,,#N/A
Gibson Les Paul Custom Black 1973,Gibson,"$8,695.00 ",#109787,VINTAGE,,Weight: 10lbs,In Stock!,,,,,Gibson
Gibson Flying V Black 1980,Gibson,"$9,995.00 ",#82590012,USED,,Weight: 6lbs 13oz,In Stock!,,,,,Gibson
"Rickenbacker 360/12 ""Color of the Year"" Montezuma Brown 2004",Other,"$3,095.00 ",#0401920,USED,,Weight: 7lbs 10oz,In Stock!,,,,,#N/A
Gibson ES-335 Black 1975,Gibson,"$7,495.00 ",#173548,VINTAGE,,Weight: 7lbs 13oz,In Stock!,,,,,Gibson
Gibson Trini Lopez Burgundy Metallic 1966,Gibson,"$7,995.00 ",#846840,VINTAGE,,Weight: 7lbs 15oz,In Stock!,,,,,Gibson
PRS Private Stock Super Eagle II Hemp Green 2017,Other,"$22,995.00 ",#17-240033,USED,,Weight: 7lbs 12oz,In Stock!,,,,,#N/A
LTD EC-400 Transparent Cherry,Other,$395.00 ,#W0416831,USED,,Weight: 8lbs 1oz,In Stock!,,,,,#N/A
Gibson Les Paul Standard '60s Bourbon Burst 2020,Gibson,"$1,995.00 ",#235200219,USED,,Weight: 9lbs 11oz,In Stock!,,,,,Gibson
Kiesel Lyra Sunburst 2024,Other,"$1,595.00 ",#167476,USED,,Weight: 8lbs 15oz,In Stock!,,,,,#N/A
Fender Custom Shop 70th Anniversary '54 Stratocaster Relic Sunburst 2024,Fender,"$3,395.00 ",#2550,USED,,Weight: 7lbs 12oz,In Stock!,,,,,Fender
EVH Wolfgang Special Burgundy Mist 2021,Other,$795.00 ,#WG212513M,USED,,Weight: 7lbs 10oz,In Stock!,,,,,#N/A
Fender Eric Johnson Stratocaster Sunburst 2023,Fender,"$1,695.00 ",#EJ23596,USED,,Weight: 7lbs 14oz,In Stock!,,,,,Fender
"Fender Custom Shop 1959 Custom Telecaster ""Chicago Special"" NOS Fluorescent Yellow",Fender,"$4,275.00 ",#R144447,NEW,,Weight: 7lbs 6oz,In Stock!,,,,,Fender
Suhr Custom Modern Suhr Burst w/CME-Selected Flame Maple Top,Other,"$4,599.00 ",#83732,NEW,,Weight: 7lbs 1oz,In Stock!,,,,,#N/A
"Gibson Custom '58 Les Paul Standard ""CME Spec"" w/59 Carmelita Neck Slow Iced Tea Fade 2020",Gibson,"$4,495.00 ",#CME01168,USED,,Weight: 9lbs 7oz,In Stock!,,,,,Gibson
Gibson Custom '59 Les Paul Standard Sunburst 2013,Gibson,"$5,295.00 ",#931933,USED,,Weight: 9lbs 1oz,In Stock!,,,,,Gibson
Epiphone USA Casino Royal Tan 2024,Epiphone,"$2,595.00 ",#211440340,USED,,Weight: 6lbs 5oz,In Stock!,,,,,Epiphone
Gibson Custom Shop Murphy Lab '61 ES-335 Reissue Heavy Aged Sixties Cherry 2024,Gibson,"$6,595.00 ",#140604,USED,,Weight: 7lbs 14oz,In Stock!,,,,,Gibson
Gibson Custom Painted Over Series '60 Les Paul Standard Reissue Ebony Over Frosted Blue 2016,Gibson,"$5,195.00 ",#G060085,USED,,Weight: 8lbs 9oz,In Stock!,,,,,Gibson
Gibson Custom Painted Over Series '60 Les Paul Standard Reissue Ebony Over Kerry Green 2016,Gibson,"$5,195.00 ",#G060079,USED,,Weight: 8lbs 14oz,In Stock!,,,,,Gibson
Gibson Custom Painted Over Series '58 Les Paul Standard Reissue Ebony Over Cherry Sunburst 2017,Gibson,"$5,195.00 ",#87754,USED,,Weight: 8lbs 4oz,In Stock!,,,,,Gibson
Gibson Custom Painted Over Series '58 Les Paul Standard Reissue Gold Over Cherry Sunburst 2017,Gibson,"$5,195.00 ",#87772,USED,,Weight: 8lbs 14oz,In Stock!,,,,,Gibson
Gibson Zakk Wylde Les Paul Custom Camo Bullseye 2002,Gibson,"$8,495.00 ",#ZPW211,USED,,Weight: 10lbs 6oz,In Stock!,,,,,Gibson
Nash S-63 Natural Heavy Relic,Other,"$2,795.00 ",#CHI791,NEW,,Weight: 7lbs 13oz,In Stock!,,,,,#N/A
"Fender Custom Shop 1960 Stratocaster ""Chicago Special"" NOS Fluorescent Yellow",Fender,"$4,175.00 ",#R143909,NEW,,Weight: 8lbs,In Stock!,,,,,Fender
Epiphone USA Casino Royal Tan,Epiphone,"$3,499.00 ",#211440342,NEW,,Weight: 6lbs 7oz,In Stock!,,,,,Epiphone
PRS Custom 24 10 Top Purple Mist,Other,"$5,490.00 ",#0406704,NEW,,,In Stock!,,,,,#N/A
PRS McCarty 594 Hollowbody II 10 Top Back McCarty Sunburst,Other,"$7,230.00 ",#0405881,NEW,,Weight: 5lbs 11oz,In Stock!,,,,,#N/A
Fender American Vintage '65 Stratocaster Sunburst 2016 LEFTY,Fender,"$1,795.00 ",#V1739093,USED,,Weight: 7lbs 10oz,In Stock!,,,,,Fender
Squier Affinity Series Telecaster Thinline 3-Color Sunburst,Squier,$377.99 ,#CYKH24004708,USED,,Weight: 6lbs 8oz,In Stock!,,,,,Squier
Jackson Pro Plus Series Dinky DKAQ Ghost Burst,Other,$830.00 ,#CYJ2301634,USED,,,In Stock!,,,,,#N/A
Gibson Memphis ES-335 Big Block Retro Wood Rose 2018,Gibson,"$4,495.00 ",#13317718,USED,,Weight: 7lbs 11oz,In Stock!,,,,,Gibson
Fender Custom Shop Todd Krause Masterbuilt '54 Stratocaster Relic Sunburst 2014,Fender,"$6,995.00 ",#1771,USED,,Weight: 7lbs 10oz,In Stock!,,,,,Fender
PRS Wood Library Custom 24 Semi-Hollow w/Brazilian Rosewood Fretboard Faded Blue Jean 2020,Other,"$4,995.00 ",#0310013,USED,,Weight: 6lbs 14oz,In Stock!,,,,,#N/A
Fender Custom Shop Ron Thorn Masterbuilt Jazzmaster NOS Antigua Unburst w/Antigua Pickguard & Headstock 2020,Fender,"$5,495.00 ",#RT0214,USED,,Weight: 8lbs 1oz,In Stock!,,,,,Fender
Gibson ES-120T Sunburst 1963,Gibson,"$2,395.00 ",#128865,VINTAGE,,Weight: 5lbs 7oz,In Stock!,,,,,Gibson
Gibson Les Paul Standard Wine Red 1981,Gibson,"$2,995.00 ",#82961557,USED,,Weight: 9lbs 2oz,In Stock!,,,,,Gibson
Fender Limited Edition American Vintage II 1973 Stratocaster Olympic White,Fender,"$2,479.99 ",#N/A,NEW,,,Pre-Order,,,,,Fender
PRS S2 Custom 24-08 Lake Blue,Other,"$2,399.00 ",#S2082111,NEW,,Weight: 7lbs 9oz,In Stock!,,,,,#N/A
PRS CE 24 Faded Gray Black Purple Burst,Other,"$2,699.00 ",#0406931,NEW,,Weight: 8lbs 1oz,In Stock!,,,,,#N/A
Gibson Original Les Paul Standard '60s Bourbon Burst,Gibson,"$2,999.00 ",#211350097,NEW,,Weight: 9lbs 7oz,In Stock!,,,,,Gibson
Gibson Original Les Paul Standard '60s Bourbon Burst,Gibson,"$2,999.00 ",#208450034,NEW,,Weight: 8lbs 8oz,In Stock!,,,,,Gibson
Ibanez ATZ300BK Andy Timmons Signature Electric Guitar Black,Ibanez,"$3,699.99 ",#210001F2512117,NEW,,Weight: 9lbs 6oz,In Stock!,,,,,Ibanez
Yamaha SA2200 Semi-Hollow Electric Brown Sunburst Guitar,Other,"$2,899.99 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Gibson Custom Shop 1963 SG Special Reissue Antique Pewter Sparkle Murphy Lab Ultra Light Aged,Gibson,"$5,299.00 ",#501573,NEW,,Weight: 6lbs 10oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/59 Carmelita Neck",Gibson,"$5,799.00 ",#85296,NEW,,Weight: 8lbs 10oz,In Stock!,,,,,Gibson
Gibson Custom Shop 1964 ES-335 Reissue LEFTY Sixties Cherry VOS,Gibson,"$5,999.00 ",#150045,NEW,,Weight: 7lbs 15oz,In Stock!,,,,,Gibson
Gibson Custom Shop 1959 ES-335 Reissue LEFTY Vintage Burst VOS,Gibson,"$5,999.00 ",#A940540,NEW,,Weight: 7lbs 9oz,In Stock!,,,,,Gibson
"Gibson Custom Shop Explorer Custom ""CME Spec"" Aniline Dye VOS",Gibson,"$6,399.00 ",#CS403727,NEW,,Weight: 8lbs 5oz,In Stock!,,,,,Gibson
"Gibson Custom Shop Explorer Custom ""CME Spec"" Transparent Purple/Black Back Gloss",Gibson,"$6,599.00 ",#CS403789,NEW,,Weight: 8lbs 12oz,In Stock!,,,,,Gibson
"Gibson Custom Shop Murphy Lab 1964 Trini Lopez Reissue ""CME Spec"" Heavy Antique Shell Pink Ultra Light Aged",Gibson,"$7,699.00 ",#140422,NEW,,Weight: 8lbs 3oz,In Stock!,,,,,Gibson
"Gibson Custom Shop Explorer Custom ""CME Spec"" Pink Sparkle VOS w/Stinger",Gibson,"$7,199.00 ",#CS403514,NEW,,Weight: 8lbs 8oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Kindred Burst VOS w/Lightweight Back",Gibson,"$7,999.00 ",#95602,NEW,,Weight: 7lbs 4oz,In Stock!,,,,,Gibson
PRS Limited Edition 40th Anniversary McCarty SC56 Translucent Black,Other,"$4,950.00 ",#0406127,NEW,,Weight: 8lbs 2oz,In Stock!,,,,,#N/A
PRS Limited Edition 40th Anniversary McCarty SC56 Faded Blue Jean,Other,"$4,950.00 ",#0406570,NEW,,Weight: 7lbs 13oz,In Stock!,,,,,#N/A
Rickenbacker 330 Fireglo,Other,"$2,099.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Rickenbacker 360 Mapleglo,Other,"$2,549.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Rickenbacker 330/12 12-String Jetglo,Other,"$2,499.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Rickenbacker 330/12 12-String Fireglo,Other,"$2,499.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Rickenbacker 330/12 12-String Matte Black,Other,"$2,499.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Rickenbacker 360/12 12-String Jetglo,Other,"$2,999.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Fender Custom Shop Post Modern Telecaster Closet Classic Blonde 2017,Fender,"$3,195.00 ",#1443,USED,,Weight: 6lbs 11oz,In Stock!,,,,,Fender
Duesenberg Starplayer CBR Catalina Green,Other,"$3,299.00 ",#252873,NEW,,Weight: 7lbs 15oz,In Stock!,,,,,#N/A
Gibson Les Paul Special TV Yellow 1956,Gibson,"$16,450.00 ",#614689,VINTAGE,,Weight: 7lbs 11oz,In Stock!,,,,,Gibson
Gibson Custom Shop Flying V Custom Ebony Gloss w/Ebony Fingerboard,Gibson,"$5,799.00 ",#CS404370,NEW,,Weight: 8lbs 1oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1968 Les Paul Custom ""CME Spec"" Ebony VOS w/Chambered Body",Gibson,"$6,999.00 ",#503238,NEW,,Weight: 7lbs 11oz,In Stock!,,,,,Gibson
Kramer American Pacer (Previously Owned by Randy Bachman) Black 1985,Other,"$5,195.00 ",#E6200,USED,,Weight: 8lbs 6oz,In Stock!,,,,,#N/A
Gibson Les Paul Anniversary Lefty Ebony 1974 LEFTY,Gibson,"$2,995.00 ",#N/A,VINTAGE,,Weight: 8lbs 14oz,In Stock!,,,,,Gibson
EVH Limited Edition Star Satin Black w/Gold Hardware,Other,$963.00 ,#EVH2300670,USED,,Weight: 7lbs 4oz,In Stock!,,,,,#N/A
Strandberg Boden Classic 6 Trem Red,Other,"$1,295.00 ",#C1911335,USED,,Weight: 5lbs 6oz,In Stock!,,,,,#N/A
G&L USA Fullerton Deluxe Legacy HSS Sublime Green 2022,Other,"$1,295.00 ",#CLF2203354,USED,,Weight: 7lbs 10oz,In Stock!,,,,,#N/A
Ibanez 540P Magenta 1980s,Ibanez,"$1,095.00 ",#881371,USED,,Weight: 7lbs 11oz,In Stock!,,,,,Ibanez
"Gibson Custom Shop 1959 ES-335 ""CME Spec"" Antique Blonde Murphy Lab Heavy Aged",Gibson,"$9,099.00 ",#A950026,NEW,,Weight: 7lbs 15oz,In Stock!,,,,,Gibson
Powers Electric A-Type Dolomite Silver w/PF42 Pickups,Other,"$3,999.00 ",#A928,NEW,,Weight: 6lbs 10oz,In Stock!,,,,,#N/A
Taylor T5z Custom Hawaiian Koa Shaded Edgeburst,Other,"$3,799.00 ",#1203195090,NEW,,Weight: 5lbs 7oz,In Stock!,,,,,#N/A
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/59 Carmelita Neck",Gibson,"$5,499.00 ",#841682,NEW,,Weight: 8lbs 15oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Cherry Tea Burst VOS w/60 V2 Neck",Gibson,"$6,999.00 ",#95991,NEW,,Weight: 8lbs 9oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1957 Les Paul Goldtop ""CME Spec"" Double Gold VOS w/60 V2 Neck",Gibson,"$5,399.00 ",#75135,NEW,,Weight: 8lbs 15oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Slow Iced Tea Fade VOS w/59 Carmelita Neck",Gibson,"$5,799.00 ",#85293,NEW,,Weight: 9lbs 1oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/60 V2 Neck Profile",Gibson,"$5,499.00 ",#841387,NEW,,Weight: 8lbs 12oz,In Stock!,,,,,Gibson
Jackson Custom Shop 1982 Dinky Nitro Pristine Irish Green w/Gold Hardware,Other,"$5,599.99 ",#XN010409,NEW,,Weight: 8lbs 2oz,In Stock!,,,,,#N/A
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Slow Iced Tea Fade VOS w/Lightweight Back",Gibson,"$7,999.00 ",#951046,NEW,,Weight: 6lbs 12oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1968 Les Paul Custom ""CME Spec"" LEFTY Ebony VOS",Gibson,"$6,899.00 ",#502688,NEW,,Weight: 8lbs 13oz,In Stock!,,,,,Gibson
Strandberg Boden Standard NX 6 Plini Edition Mirage,Other,"$1,999.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Fender Richie Kotzen Stratocaster Transparent White Burst,Fender,"$1,779.99 ",#N/A,NEW,,,Pre-Order,,,,,Fender
Fender Richie Kotzen Stratocaster Transparent Red Burst,Fender,"$1,779.99 ",#N/A,NEW,,,In Stock!,,,,,Fender
Fender Limited Edition Mark Speer Stratocaster Natural,Fender,"$1,499.99 ",#N/A,NEW,,,Pre-Order,,,,,Fender
Gretsch Limited Edition Falcon Center Block Jr. with Bigsby Quilted Maple Roundup Orange,Other,"$3,899.99 ",#JT25010054,NEW,,Weight: 7lbs 10oz,In Stock!,,,,,#N/A
Squier FSR Affinity Jaguar Graffiti Yellow,Squier,$367.99 ,#N/A,NEW,,,In Stock!,,,,,Squier
Squier FSR Affinity Stratocaster HSS Graffiti Yellow,Squier,$314.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Squier FSR Classic Vibe '60s Jazzmaster Competition Burgundy,Squier,$473.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Squier FSR Classic Vibe '60s Mustang Competition Burgundy,Squier,$473.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Strandberg Boden Prog NX 7 Deep Blue,Other,"$2,495.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Strandberg Boden Prog NX 6 Deep Blue,Other,"$2,395.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Orangewood Del Sol Baritone Electric Guitar Sandstone,Other,$695.00 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Gibson ES-120T Sunburst 1966,Gibson,"$1,758.00 ",#72809,VINTAGE,,Weight: 5lbs 6oz,In Stock!,,,,,Gibson
Gibson ES-150D Walnut 1974,Gibson,"$4,995.00 ",#141023,VINTAGE,,Weight: 5lbs 14oz,In Stock!,,,,,Gibson
Supro Triple-Tone Guitar Model 1575 Black 1959,Other,"$2,595.00 ",#T8081,VINTAGE,,Weight: 7lbs 11oz,In Stock!,,,,,#N/A
"Gibson Eric Clapton 1960 Les Paul VOS ""Beano"" Sunburst 2011",Gibson,"$9,495.00 ",#EC089,USED,,Weight: 9lbs,In Stock!,,,,,Gibson
"Gibson Custom Shop 1959 ES-355 ""CME Spec"" Heavy Antique White Sparkle Murphy Lab Ultra Light Aged w/Stopbar",Gibson,"$9,199.00 ",#A950156,NEW,,Weight: 8lbs 14oz,In Stock!,,,,,Gibson
"Gibson Custom Shop Murphy Lab Replica Kirk Hammett 1959 Les Paul Standard ""Greeny"" Aged",Gibson,"$19,999.00 ",#95231,NEW,,Weight: 8lbs 10oz,In Stock!,,,,,Gibson
Gibson ES-225 Sunburst 1958,Gibson,"$4,195.00 ",#T6482 2,VINTAGE,,Weight: 5lbs 13oz,In Stock!,,,,,Gibson
Carvin #61-SGB Natural 1960s,Other,"$2,595.00 ",#N/A,VINTAGE,,Weight: 8lbs 5oz,In Stock!,,,,,#N/A
Gretsch 6122-62 Country Classic Walnut 1996,Other,"$2,095.00 ",#96512262-459,USED,,Weight: 8lbs 2oz,In Stock!,,,,,#N/A
Xotic XTC-3 Split Doghair,Other,"$3,395.00 ",#3737,USED,,Weight: 7lbs 6oz,In Stock!,,,,,#N/A
G&L ASAT Classic Candy Apple Red 2006,Other,"$1,295.00 ",#CLF43825,USED,,Weight: 8lbs 4oz,In Stock!,,,,,#N/A
Reverend Sensei Jr. Korina Burst,Other,$810.00 ,#66673,USED,,Weight: 7lbs 7oz,In Stock!,,,,,#N/A
Danelectro '59 Triple Divine Black,Danelectro,$715.00 ,#103251,USED,,Weight: 5lbs 14oz,In Stock!,,,,,Danelectro
PRS S2 McCarty 594 Thinline Standard McCarty Tobacco Sunburst,Other,"$2,149.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Fender American Ultra II Meteora Texas Tea,Fender,"$2,359.99 ",#US25017113,NEW,,Weight: 7lbs 9oz,In Stock!,,,,,Fender
Duesenberg Starplayer CBR Transparent Black,Other,"$3,299.00 ",#232955,NEW,,Weight: 8lbs 2oz,In Stock!,,,,,#N/A
National Glenwood 99 Res-O-Glas White 1962,Other,"$4,695.00 ",#T-85406,VINTAGE,,Weight: 9lbs 5oz,In Stock!,,,,,#N/A
Fender Custom Shop '58 Telecaster Reissue Journeyman Relic Sunburst 2023,Fender,"$3,395.00 ",#CZ573194,USED,,Weight: 7lbs 3oz,In Stock!,,,,,Fender
Reverend Pete Anderson PA-1 Black 2008,Other,"$1,095.00 ",#11675,USED,,Weight: 7lbs 5oz,In Stock!,,,,,#N/A
Fender 2-Knob Stratocaster Sienna Sunburst 1983,Fender,"$1,795.00 ",#E311821,USED,,Weight: 7lbs 6oz,In Stock!,,,,,Fender
Epiphone Firebird Sunburst,Epiphone,$618.00 ,#24011530582,USED,,Weight: 7lbs 12oz,In Stock!,,,,,Epiphone
Squier MIJ Stratocaster Sunburst 1986,Squier,$523.00 ,#E633534,USED,,Weight: 7lbs 9oz,In Stock!,,,,,Squier
Godin 5th Avenue Kingpin P90 Vintage Burst,Other,$849.00 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Godin 5th Avenue Kingpin II Vintage Burst,Other,$949.00 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Hamer Vector Black and White Custom Finish 1980s,Other,"$3,495.00 ",#N/A,USED,,Weight: 7lbs 6oz,In Stock!,,,,,#N/A
Gibson Les Paul Standard '50s Mahogany Top TV Yellow 2024,Gibson,"$2,095.00 ",#229840145,USED,,Weight: 9lbs 11oz,In Stock!,,,,,Gibson
Gibson S-1 Natural 1978,Gibson,"$1,595.00 ",#72908589,VINTAGE,,Weight: 9lbs 13oz,In Stock!,,,,,Gibson
Rickenbacker 370/12 Amber Fireglo 2007,Other,"$3,395.00 ",#0732102,USED,,Weight: 8lbs,In Stock!,,,,,#N/A
PRS Limited Edition CE 24 w/Wood Library Top Whale Blue 2023,Other,"$1,895.00 ",#0372130,USED,,Weight: 7lbs 11oz,In Stock!,,,,,#N/A
Gibson '70s Flying V Natural 2023,Gibson,"$1,795.00 ",#233230029,USED,,Weight: 7lbs,In Stock!,,,,,Gibson
Fender Stevie Ray Vaughan Stratocaster Sunburst 1997,Fender,"$1,495.00 ",#6940871,USED,,Weight: 7lbs 8oz,In Stock!,,,,,Fender
Heritage Standard H-150 P90 Cherry 2024,Other,"$2,195.00 ",#1240375,USED,,Weight: 9lbs 14oz,In Stock!,,,,,#N/A
Fender Custom Shop LTD Roasted Stratocaster Journeyman Relic Dirty White Blonde,Fender,"$5,050.00 ",#XN18838,NEW,,Weight: 7lbs 4oz,In Stock!,,,,,Fender
Gibson Custom Shop 1964 SG Standard Silver Fox VOS w/Maestro,Gibson,"$5,499.00 ",#500824,NEW,,Weight: 7lbs 8oz,In Stock!,,,,,Gibson
Gibson Custom Shop Murphy Lab 1963 Firebird V Ember Red Ultra Light Aged w/Maestro Vibrola,Gibson,"$7,799.00 ",#407733,NEW,,Weight: 8lbs 12oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Dirty Lemon Fade Murphy Lab Ultra Light Aged w/'59 Carmelita Neck",Gibson,"$7,599.00 ",#95641,NEW,,Weight: 8lbs 14oz,In Stock!,,,,,Gibson
PRS S2 Studio Lake Blue,Other,"$2,449.00 ",#S2081028,NEW,,Weight: 7lbs 14oz,In Stock!,,,,,#N/A
PRS S2 Special Semi-Hollow Fire Red Burst,Other,"$2,599.00 ",#S2081374,NEW,,Weight: 7lbs 2oz,In Stock!,,,,,#N/A
PRS S2 Studio Black Amber,Other,"$2,449.00 ",#S2081007,NEW,,Weight: 7lbs 6oz,In Stock!,,,,,#N/A
PRS S2 Studio Faded Gray Black Purple Burst,Other,"$2,449.00 ",#S2081056,NEW,,Weight: 7lbs 6oz,In Stock!,,,,,#N/A
PRS S2 Special Semi-Hollow Faded Gray Black Blue Burst,Other,"$2,599.00 ",#S2081188,NEW,,Weight: 7lbs 7oz,In Stock!,,,,,#N/A
PRS SE Special Semi-Hollow Orange Tiger Smokeburst,Other,"$1,149.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
PRS SE Studio Charcoal Cherry Burst,Other,"$1,099.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
PRS SE Studio Lake Blue,Other,"$1,099.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
PRS SE Studio Standard Rosewood Silvertone Gray,Other,$849.00 ,#N/A,NEW,,,In Stock!,,,,,#N/A
PRS SE Studio Standard Rosewood Sage Green,Other,$849.00 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Gibson Custom Shop 1963 SG Junior TV Heather Poly VOS,Gibson,"$4,399.00 ",#500833,NEW,,Weight: 6lbs 4oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Orange Lemon Fade VOS w/59 Carmelita Neck",Gibson,"$5,799.00 ",#85035,NEW,,Weight: 9lbs 1oz,In Stock!,,,,,Gibson
Gibson Custom Shop 1958 Korina Flying V Reissue Natural w/White Pickguard,Gibson,"$9,999.00 ",#841105,NEW,,Weight: 7lbs 6oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Factory Burst VOS w/59 Carmelita Neck",Gibson,"$6,999.00 ",#951248,NEW,,Weight: 9lbs,In Stock!,,,,,Gibson
Nash T-52 Ash Butterscotch Blonde Medium Relic,Other,"$2,783.00 ",#CHI735,NEW,,Weight: 6lbs 13oz,In Stock!,,,,,#N/A
Fender Stratocaster Champagne 1998,Fender,"$1,095.00 ",#N8366830,USED,,Weight: 8lbs,In Stock!,,,,,Fender
Rickenbacker 450/12 Fireglo 1966,Other,"$3,495.00 ",#FA300,VINTAGE,,Weight: 7lbs 4oz,In Stock!,,,,,#N/A
Gibson Custom Les Paul Custom Silver Sparkle Burst 2024,Gibson,"$5,495.00 ",#CS402063,USED,,Weight: 10lbs 1oz,In Stock!,,,,,Gibson
Fender Stratocaster Candy Apple Red 1964,Fender,"$37,500.00 ",#L22284,VINTAGE,,Weight: 7lbs 4oz,In Stock!,,,,,Fender
Taylor T5Z Natural 2021,Other,"$2,495.00 ",#1202081181,USED,,Weight: 5lbs 8oz,In Stock!,,,,,#N/A
Suhr Custom Classic T Swamp Ash Trans Daphne Blue w/Roasted Maple Neck,Other,"$4,399.00 ",#80774,NEW,,Weight: 7lbs 7oz,In Stock!,,,,,#N/A
Fender Coronado II Wildwood/Antigua 1967,Fender,"$2,995.00 ",#213586,VINTAGE,,Weight: 6lbs 11oz,In Stock!,,,,,Fender
Fender Telecaster Blonde 1952,Fender,"$68,000.00 ",#3498,VINTAGE,,Weight: 7lbs 8oz,In Stock!,,,,,Fender
Gibson Original SG Standard '61 Stop Bar Metallic Silver Mist,Gibson,"$1,999.00 ",#N/A,NEW,,,In Stock!,,,,,Gibson
"Fender Custom Shop 1956 Esquire ""Chicago Special"" Journeyman Relic Super Aged Copper",Fender,"$4,300.00 ",#R143444,NEW,,Weight: 7lbs,In Stock!,,,,,Fender
Suhr Andy Wood Signature Modern T Humbucker AW Silver,Other,"$3,849.00 ",#82538,NEW,,Weight: 7lbs 12oz,In Stock!,,,,,#N/A
Gibson Custom Shop 1958 Les Paul Standard All Ebony Ultra Murphy Lab Light Aged,Gibson,"$6,299.00 ",#85478,NEW,,Weight: 8lbs 8oz,In Stock!,,,,,Gibson
Gretsch Jet Fire Bird Red 1956,Other,"$7,995.00 ",#21902,VINTAGE,,Weight: 6lbs 15oz,In Stock!,,,,,#N/A
Gibson Les Paul Custom Black 1971,Gibson,"$7,995.00 ",#618410,VINTAGE,,Weight: 10lbs 15oz,In Stock!,,,,,Gibson
Fender Stratocaster Sunburst 1974,Fender,"$5,500.00 ",#573533,VINTAGE,,Weight: 8lbs 11oz,In Stock!,,,,,Fender
